code,m_cap,B/M,EPS,PEG,ROE,ROA,GP/R,P/R,L/A,FAP,CMV
600000.XSHG,2229.0901,0.9355788244525318,2.3459346402514836,-0.040175261001461085,0.06582788942353605,-0.07722315616893373,0.24020223396368054,0.18607269885047847,0.40146875868794346,-1.234252658490257,2.2219582380047633
600004.XSHG,87.17,1.1514167746973638,0.5229634238467583,-0.03819010334865261,-0.009458407915037405,0.12141401449655444,0.07982994647300796,0.06201128544080306,-0.3403924686749797,2.8997449303233087,-0.08750256949218597
600005.XSHG,299.79,2.472906880546951,-0.28280128309075353,-0.10067009828473278,-0.07667431036219936,-0.08935893472105076,-0.023830580670756496,-0.015113293086780265,0.0590480704235657,1.7374919147158745,0.20200722172885135
600006.XSHG,64.0,2.2768166034001838,-0.6125362021708559,-0.026694553856948862,-0.12261593879242115,-0.1607119495297393,-0.03916500133176211,-0.028216253176701126,-0.0023133172609056236,-0.3337294744679153,-0.11905153883933786
600007.XSHG,114.23,-0.27372791746786485,0.12293839203380913,-0.02919567759572959,-0.03083234036341704,0.00913183438982421,0.09178261401587486,0.07032844901980334,-0.0975391046740028,-0.4355143078185261,-0.05065685906776085
600008.XSHG,100.32,1.1834632343925198,-0.17022280985196644,-0.03433347548570749,-0.04975426961808178,-0.042763445434521485,0.0589576698739801,0.051841940993536686,0.0017280335562305774,-0.2681675098913799,-0.06959713371682788
600009.XSHG,257.25,0.39808168049819587,0.8658420225435718,-0.035789549270696976,-0.0032073320459446875,0.18387644523318533,0.19057352537251654,0.15680611880206644,-0.48449179713764545,2.0272721137512586,-0.007425103488474187
600010.XSHG,412.13,-0.5693522587192646,-0.38223607671282944,-0.3352641362380982,-0.09001585197005066,-0.1095837398750221,-0.02791324245533048,-0.0187599676871846,0.2147202914106556,0.09863047238022711,0.2442586036383085
600011.XSHG,950.14,0.5761968918203954,0.4086705576144872,-0.032829303167279916,0.023631219534087953,0.00166648339205022,0.020944942418435177,0.015522184920521032,0.18413435699150293,2.0396389430602313,0.7142660805157314
600012.XSHG,69.83,1.6069005499923796,0.28752011940827965,-0.039235153302443856,0.0037740272423500794,0.1319850376671498,0.21374860582371477,0.16090989042318135,-0.2613366541472764,-0.9508716511461396,-0.13938067618733
600015.XSHG,819.91,1.2601518608282698,2.1802099842146903,-0.04006157355878924,0.03954310683035646,-0.08580516965690041,0.17203771022323483,0.1298835214067837,0.40764444124851307,-1.2214798986308415,0.6072011059897688
600016.XSHG,3185.46,0.04972295428441552,1.6087456530533346,-0.039143328829516585,0.09645309801292096,-0.06888122269619702,0.2125394146188247,0.1618552186424432,0.3989531445281119,-1.2299080957432096,3.2477015588288203
600017.XSHG,90.12,1.6139825044436154,-0.02564233406814338,-0.03575019592515672,-0.02358422594824588,0.07351417919986183,0.06303781093976274,0.06028949532928177,-0.30609271845691066,2.052577905182227,-0.10124141717076873
600018.XSHG,675.83,0.9553181377265121,-0.07193094489221323,-0.03662471471494019,-0.0024410734773807237,0.1148442442410774,0.09191266870140058,0.07609918389907151,-0.2568475839529849,1.1326509711274424,0.6426851863172084
600019.XSHG,861.24,2.9558085201844086,0.008645525801538005,-0.03989978758267929,-0.06324858448227219,-0.04991102923471788,-0.013226041551189152,-0.007870394506717072,-0.14128387498109,1.0145278781616631,0.9664944396813082
600020.XSHG,55.29,2.32010385203267,-0.05821580094434069,-0.034779480068497064,-0.0319307634213336,-0.060972498121909594,0.07788200221022869,0.05931682757397386,0.22376146731587482,1.784593668297547,-0.13091133698408078
600021.XSHG,102.49,1.443621014984429,0.16808407419555627,-0.03737680087415398,-0.004181447033044176,-0.004065184955421347,0.012458215199968628,0.016594071117629526,0.11463240876468396,1.8182123240147243,-0.06664239640636954
600022.XSHG,141.6,1.8529091770095187,-1.2445757524353154,-0.045553551558629446,-0.28815119767501274,-0.32650123698241973,-0.0546934165109492,-0.045300016564753846,0.14940771980993428,2.080722836918887,-0.046136247145769305
600026.XSHG,165.12,3.430245033709205,-0.24165585124713593,-0.08455577780478765,-0.08082395905118236,-0.09344041598803272,-0.07123587604825454,-0.0028130332163023336,0.01547648744979491,2.5747455494004314,-0.06695557132867618
600027.XSHG,309.59,1.2214939767594086,-0.27708663977913994,-0.01402277659298635,-0.0593946103373715,-0.08992416342626208,-0.014293040209402029,-0.009234029545328268,0.2750261434136616,1.8517871769934358,0.09919053310548322
600028.XSHG,6146.8799,1.2414528844153745,0.8086955894274362,-0.03807641590598075,0.015203283743252046,0.08170013326754236,-0.009971884817583458,-0.006047965346291152,-0.050641252930286554,1.243032631344665,6.545882420160755
600029.XSHG,412.34,1.549691634110479,0.9229884556597074,-0.03335401444115001,0.11000709892037092,0.1100561968405632,0.025710795817368147,0.022783589530040324,0.15011790011273535,2.4632386658806604,0.18833645555511783
600030.XSHG,1734.0601,0.008695238024292307,-0.048500907314597635,-0.036847717006334976,-0.0686509133090115,-0.05784189828621655,0.14701794855505798,0.11573119031221213,-0.18301119953362285,-1.1307497544285445,1.8972911576795626
600031.XSHG,913.98,-0.7167701136230964,0.12293839203380913,-0.037249995649635374,0.003193216329251092,0.028986717867102964,0.018328301874689402,0.022033265855067822,0.042600347292993175,-0.1627647969093377,1.0345759445305787
600033.XSHG,63.94,2.962613208091042,-0.15536473724177116,-0.03601692415604068,-0.040651012441791215,-0.019069822883078968,0.1369520510309314,0.0977455797699849,-0.04803413190673331,3.700551126282761,-0.1636857734185195
600035.XSHG,34.94,1.9402970282225913,0.008645525801538005,-0.036458556144881325,-0.03870193456844901,-0.04257685098720059,0.1788308553111293,0.11584271273701793,0.09562866644108704,-1.1186643523197919,-0.1586205094577338
600036.XSHG,3189.02,0.3719445452439032,2.6373814491437755,-0.039803590515803115,0.08844662866048503,-0.06786475488977975,0.2300990922192408,0.17454406222725788,0.3944657464241963,-1.2191474028075087,3.349088399687344
