code,m_cap,B/M,EPS,PEG,ROE,ROA,GP/R,P/R,L/A,FAP,CMV
600000.XSHG,3441.5654,1.4661262230593448,3.218156726560772,0.029557323248204714,0.10256407210992884,-0.10413360271558332,0.2514745313343492,0.1994065437170387,0.2950507082085115,-1.2026639969673927,4.756355904786063
600004.XSHG,131.445,0.9385329081501934,1.0015387475330817,0.02984721535161601,0.06765060984195702,0.6184843088388216,0.16695303655849172,0.13300560904140668,-0.2670371019140134,1.6004108105473036,-0.07811068353476042
600005.XSHG,289.6915,2.518411965176832,-1.114552339021698,0.025824472279760074,-0.18275866723341525,-0.6446053800942049,-0.06243267942453748,-0.031808785545669765,0.07790100560585732,1.1603255210327748,0.15301003852982406
600006.XSHG,124.2,0.7540928740702101,-0.11380712445386763,0.03253367166619891,-0.004978070109314492,-0.05424635482725231,0.015680556272060157,0.03378076510174377,0.03842223273494065,-0.396522704620581,-0.08869208426942382
600007.XSHG,148.9771,-0.17822661440773785,0.4486408389320703,0.031122085188467777,0.054681527946235396,0.29186998382679724,0.21023604114155572,0.16671371444331604,-0.06910079757848843,-0.6092954142570942,-0.05250486216551368
600008.XSHG,191.8604,0.40376983502938346,-0.28269230380835836,0.031472342608539476,-0.028645407497228065,-0.15162306204137027,0.03591958085948437,0.04107855183951587,0.10331669933800611,-0.696499155821217,0.010126660557024846
600009.XSHG,526.2524,-0.13845866726984876,1.3031194249518152,0.03069576176302697,0.06836641417176981,0.6405794864077465,0.2829896271862403,0.23020646533674832,-0.27965208053339613,0.7998553859127209,0.16606247748436007
600010.XSHG,918.2128,0.3732235251152495,,0.02511291152414404,-0.09864800275378512,-0.36588541404596137,-0.08393874251049974,-0.0525963042631413,0.08870556492896169,-0.275926042341238,0.3782698768113677
600011.XSHG,965.6745,1.6471254098609427,1.1020656400059927,0.029689955753547697,0.14345879274658302,0.33113712061538814,0.11884996527266446,0.10257945591437911,0.1116862615686402,2.19076957860136,0.7880525480312592
600012.XSHG,180.554,0.1810899910232827,0.3461034086097009,0.03101974539301137,0.04951964194833691,0.4300154184572487,0.28441195676354497,0.2163953756354165,-0.21807484042140174,-0.8600210901453953,-0.04333168594270154
600015.XSHG,1003.3752,2.242967896797868,1.8560173335528265,0.029436005673249933,0.09404756732513983,-0.11540095115486773,0.2295467315462308,0.18047680515675568,0.2988989243401938,-1.1934949276471434,0.7975933348220375
600016.XSHG,2872.051,1.9939276943765623,1.2528559787153595,0.02954659525945048,0.08703092231049342,-0.10632547949196544,0.21516472177438006,0.1733004207864435,0.2906672284508133,-1.1785211357457537,3.368357568829081
600017.XSHG,127.9472,1.4544552265736066,-0.1494941712817511,0.031934110787098374,-9.189770803838048e-05,0.040800297964506405,0.09147097398201186,0.0865591898014793,-0.11634424249746646,1.7675751685430063,-0.08321925820552725
600018.XSHG,1086.8453,0.5445356885902028,-0.04645410649701715,0.030365908716702875,0.048582698797982334,0.36110089798943257,0.16140979827147997,0.14022566147387683,-0.160696184730424,0.6327476356732147,1.288595741798313
600019.XSHG,844.7836,3.304172703261086,-0.6571549782699524,0.03616896804389742,-0.06675750000251561,-0.3112799564726645,-0.011805364064101145,0.009684358480261616,-0.05134415389339,0.7675615413309912,0.9604884857039168
600020.XSHG,112.5933,2.0431717043808395,0.32800856796457695,0.029632362105714374,0.04291553915551012,0.020627565814339464,0.2206765053396839,0.18530615120881438,0.13887490144489342,0.6766471906924997,-0.10564379495362229
600021.XSHG,235.5853,0.67140834798677,0.108357307911266,0.030176807534991676,0.07051337019537975,0.12110499144580886,0.094340103825831,0.08028088883149324,0.11528802636463022,1.7077050235931075,0.07398734916752647
600022.XSHG,212.1947,1.9991441408152417,-0.9466724285919365,0.02754037169077046,-0.1556086953458193,-0.5738972595942936,-0.039346120217068944,-0.022413365211738888,0.06585568710141206,1.8100338667632117,-0.03320041463611585
600023.XSHG,711.3161,1.4266235476390992,0.24758705398624795,0.029792352612774076,0.06997656590864464,0.43242705488845273,0.1568246958949322,0.13784409198229555,-0.11642655460644774,1.4059700505788866,-0.04188052241337629
600026.XSHG,216.8745,2.5562732851445027,0.13248376210476473,0.0311730675909518,0.010251132133385101,-0.002134717775250463,0.07967938651051974,0.0827306160773072,0.04531911145212448,2.308322493582669,-0.028329172970094768
600027.XSHG,493.6503,2.2128527120853225,0.8809064765655884,0.029589678405777316,0.14244964899533716,0.2654891919482205,0.12912695846355207,0.11250800966868005,0.1398265679503434,2.126448228664035,0.18797977883215852
600028.XSHG,5188.3989,3.4883611549642666,-0.2952581653674723,0.030971510203453016,-0.024293134385634938,-0.10156994076974209,0.011895184082579661,0.025635041726843506,-0.08109455545049868,1.4019847258243556,5.884647671076086
600029.XSHG,518.714,1.7877629629220464,0.24758705398624795,0.029917191837532674,0.06477600101741153,0.08285988757245177,0.04080843018367754,0.04762888750293601,0.13266715740628163,2.9179684471831715,0.3360808316323676
600030.XSHG,1806.4451,1.058378954756936,1.0015387475330817,0.029766649460386464,0.04656366056591531,-0.016623200881103813,0.24807692708622134,0.18508615332084735,0.1823512147070649,-1.213183756161207,1.9273789115567004
600031.XSHG,380.8252,0.6306876014022629,-0.5566280857970413,0.025327463147261548,-0.08293467785628467,-0.33966086225074443,-0.03460585432399196,-0.010555315819392582,0.0449515259733585,0.12640822282272912,0.2844469552220466
600033.XSHG,88.3697,2.160549261083189,-0.0720884640776095,0.030251764872829948,0.028035230322813662,0.13876584063729805,0.2416762313846212,0.17943357762806023,-0.045830053436392425,3.393202885038459,-0.1410226243305985
600035.XSHG,73.3956,0.4115857796363237,0.04653326904042568,0.03046186552188986,0.04970582288300414,0.18916666382854186,0.24768755398671466,0.18970863576263242,0.0013831022633259598,-0.8531990285490415,-0.16289245907744784
600036.XSHG,3599.8342,1.7540586928957522,2.7607593658090264,0.029525277865383368,0.10471285599685248,-0.09743665301535033,0.21702058756080134,0.17306990637986164,0.2919767654540207,-1.1912383536148143,4.143781163152356
600037.XSHG,191.0911,-0.01605137897518497,0.21039210377127088,0.031217292012678026,0.012611230075539392,0.1903470441114967,0.1338014288175918,0.14213186512042977,-0.23688303607581332,0.9063758707018316,-0.03580012385733061
600038.XSHG,229.5422,-0.4638057741588348,0.5139833190394626,0.033944622290493234,0.011032347857495423,-0.03517513031680275,0.03337343328569337,0.041773081730333714,0.10202107552132879,-0.5611946673941469,-0.04677849142700875
600039.XSHG,112.93799999999999,1.12828460108834,-0.15954686052904218,0.03028023969404464,0.008843253056421356,-0.11389996260837121,0.018755364278422774,0.03035775705195704,0.22135850787953842,-0.9694596754221334,-0.10514035688140168
600048.XSHG,1019.7366,1.400499453387762,0.3481139464591592,0.02967623599285364,0.03910790403056798,-0.023559176836033625,0.0865268104826219,0.0732823655244434,0.17453025336186548,-1.1806373908348264,1.2192487904245688
600050.XSHG,864.8211,7.2757990763508475,-0.2640948287008698,0.031225183116868067,-0.024682860956449563,-0.12518025579444647,0.019315888694880712,0.03029154492947193,0.02805007342458459,2.1419964212282,0.9929930298295724
600051.XSHG,27.2642,1.0548444727335289,-0.2500210637546622,0.03066513482248772,-0.03209918786888701,-0.16590713856417685,0.013661410821754476,0.02511178301929102,0.142512002400355,-0.7727810150450148,-0.23091954684264573
600052.XSHG,47.0766,-0.09442816289565012,-0.5566280857970413,0.027854051234291823,-0.10497156116837478,-0.3028324555494316,-0.017537341311547,-0.0104361218703059,0.1947092919448811,-1.101093783095449,-0.2013316427814653
600053.XSHG,159.3696,-1.1163569394550867,2.6285665022071485,0.033536926109963845,0.6556744663432643,1.4938156128540148,0.21251027917612147,0.19387485492563808,0.1444567339613713,-1.1700445377428137,-0.03732650369277532
600054.XSHG,92.8436,-0.32053413793547864,1.363435560435562,0.03209554419234159,0.15356677895011403,1.169993439620722,0.234331899346876,0.18139434487455758,-0.23065388422023667,1.3274676840929658,-0.23241496384916363
600055.XSHG,56.6408,-0.9656328542037248,-0.23494202988372556,0.041468993934878115,-0.01626431006102526,-0.06873333272999045,0.023360058088599374,0.03642059825685743,-0.05252622913328812,-0.3521409966392398,-0.19592395549917893
600056.XSHG,119.4766,0.2009534431699174,0.3581666357064502,0.030510100711448215,0.05044623808671929,0.13001549284728312,0.029182253728453247,0.038153413266372976,0.05732920746692275,-0.7183671962125825,-0.10081432389643642
600057.XSHG,111.22399999999999,0.2754365451597807,-0.4058377470876745,0.0327376257320364,-0.04151784112023762,-0.18859536616049802,0.007001901970636504,0.02152724710574368,0.18058924906801604,-0.9508084601432213,-0.19331416875345497
600058.XSHG,147.7093,0.5963462970942731,-3.296488540146234,0.02764596412111512,-0.33569174743686003,-0.6908605728655122,-0.02041551212894256,-0.0018242150215080665,0.20243133780872044,-0.14056313214881985,-0.05435649775576988
600059.XSHG,67.0267,0.43661731265931614,,0.0317603760634432,-0.027620237301570972,-0.07573343033762858,0.05149148055170638,0.05263949063003465,-0.3462788601072685,0.2615973616089932,-0.17219430630160212
600060.XSHG,171.5419,0.8142236039642817,0.8055113072109049,0.029995418114193477,0.042711993519362716,0.2574878332283386,0.030545405057786284,0.04010437149670915,-0.09426062053548044,-0.8540900805153241,-0.019548728100981867
600061.XSHG,585.8925,0.06444095489081388,1.0015387475330817,0.03006257401948023,0.0732859124381047,-0.022478440999306275,2.224379898365549,1.669589441067987,0.22408827356114097,-1.2149708752955468,0.10861825096462405
600062.XSHG,116.1326,0.3280883021445583,0.5059411676416297,0.03074930388319247,0.011229920297456973,0.24113560762522096,0.07007860605523424,0.0719257598910751,-0.33221327265437134,0.19147486375562267,-0.13624208038516025
600063.XSHG,75.7112,0.1936274601691911,-0.22488934063643443,0.03465319127416945,-0.00658783016119352,-0.031261000135986906,0.037453128762530645,0.0429172698591671,-0.03081013202616155,1.3192761522929988,-0.1694564327588554
600064.XSHG,105.8288,1.113476976823059,0.986459713662145,0.02983539499926522,0.041660090822742704,0.12962474211857225,0.142983204528639,0.14963997212332056,0.027358081844421168,-1.1789581518918422,-0.11552342024963756
600066.XSHG,414.4494,-0.4881684836457174,1.7052269948434595,0.030092989008873878,0.23207341035242732,0.9229408398323281,0.074073212204626,0.07727238625495282,0.008583426366252546,-0.5021821219476333,0.2503395004951083
600067.XSHG,90.7555,1.660856278075669,-0.6571549782699524,0.030136846592078874,-0.06885673573747136,-0.2958742025883966,-0.0230566351035783,-0.013080963132073714,0.02364246535211965,-0.9623416635678926,-0.13753813766769168
600068.XSHG,244.9742,2.0447692435943683,0.23250802011531127,0.029818471515485744,0.039430260782106104,-0.027209896471686118,0.03149094419730607,0.03938022252102753,0.17893711121348813,-0.7042117892049603,0.05225348797601146
600069.XSHG,48.3403,0.15456956185420728,-0.3776902171952594,0.02831574604514647,-0.054729767713351266,-0.24069375742508595,0.002818790724912541,0.014909132707262468,0.025506574695546992,0.8462075880124216,-0.22343588951146348
600070.XSHG,39.3701,-0.39734242634981637,-0.008756521819675433,0.04244330889530147,0.03265244569364484,0.19564505803644505,0.09638339574465969,0.08532137888367025,-0.08495260023301404,-0.1259796723344503,-0.21258706924960658
600071.XSHG,45.3572,-0.9161062109952405,0.41647223334073863,0.04764084825541726,0.20229497101972582,1.1038006274258452,0.1542741474239506,0.1294440821183703,-0.0934216235601662,0.5007341866742137,-0.20384284504829486
600072.XSHG,60.8084,-0.7520108732270525,-0.5214436734315223,0.040565054906761225,-0.08626210717638386,-0.4117230634731069,-0.028876763172167492,-0.012326775623645071,-0.0638336561823996,0.5692892739135218,-0.18127620059951208
600073.XSHG,86.2711,-0.06252464683921688,-0.19975761751820664,0.03518895485844428,0.006356804062707317,0.021796807594241692,0.01774001138938731,0.03009439431716931,-0.020740955844261607,-0.10452677327292398,-0.14408765229219472
600074.XSHG,278.3101,-1.1906679698702132,,0.03507760713929985,0.3648365411358158,1.8484423699215133,0.14933173259023177,0.13914199512636552,-0.06948145508708244,-0.8289111533016341,-0.11214073118938166
600075.XSHG,31.447,0.7104493571745566,-0.4058377470876745,0.043792329025244804,-0.04141153128429597,-0.19003524346051662,0.013883677390254439,0.021174365096211557,-0.10886628363696786,0.11604110716376508,-0.22415884235668895
600076.XSHG,96.4968,-1.2830419346626025,-0.4561011933241301,-0.02392349412441534,-0.15180298600543976,-0.47631885516273625,-3.4214818312706874,-3.238014599501674,0.12867065519942486,-1.207734472667509,-0.22027753490984725
600077.XSHG,60.5735,0.6887687203793278,-0.33546892235663667,0.040628844049619785,-0.034987081342873164,-0.17324500375087018,0.008042570648704575,0.029803757362792817,0.14664626485662915,-1.2019990025534206,-0.18161927458606453
600078.XSHG,39.7544,0.2509439102125308,-0.35356376300176073,0.04893337525309097,-0.03714683240967903,-0.17512440036053278,0.010921336756541377,0.023736185998630775,0.0757521306178619,0.719080759550624,-0.21202579494976792
600079.XSHG,196.6369,0.0919834216022239,0.14706016151333684,0.031839083306165174,0.03475112654152322,0.16336537514932445,0.06378437167093895,0.06404476877356928,-0.03805513594814113,-0.24414657606062398,-0.03985420973162719
600080.XSHG,32.6056,-0.3343917787487107,,0.04023321278045534,-0.009155162106538935,0.051094984150736183,0.04255276936895013,0.05099270791888474,-0.2738508728334438,0.3757637349156822,-0.22246669454562185
600081.XSHG,45.0272,-0.28550550978319944,-0.06605685052923482,0.03100119966777134,0.048967464025516896,0.11203313227038308,0.03542242829955293,0.041582253157813484,0.06906796603243143,0.06099238512800572,-0.2043248136117785
600082.XSHG,38.0562,0.10625715731116657,-0.46112753794777567,0.012841812454368141,-0.06673181199487481,-0.3017505155502121,-0.03535531435933335,-0.020061157071984692,-0.02137541533720481,-1.1623159517491717,-0.21568379029552887
600083.XSHG,36.708,-1.3062241856845536,-0.34049526698028226,0.051679699614338825,0.03370190035904114,0.15683369675114256,0.09279301838033961,0.0690114865341849,-0.03621801182107201,-1.082510219687278,-0.2171923518992326
600084.XSHG,59.5575,-0.1344311416868454,-0.595330939399112,0.048438289984837124,-0.11882650396291623,-0.5688707843113308,-0.9665774849030633,-0.9038923247561542,-0.059616005542804704,-0.8145460681772828,-0.19281949374602497
600085.XSHG,375.2343,-0.46616729048348887,0.2777451217281213,0.032614107125954236,0.05225846664100729,0.45808805863733176,0.09337378267179988,0.08755098190179332,-0.2263423877734585,-0.7225196232219723,0.2779462216582113
