code,m_cap,B/M,EPS,PEG,ROE,ROA,GP/R,P/R,L/A,FAP,CMV
600000.XSHG,3547.5601,2.114210009060782,2.4865278090572405,-0.03529283218748995,0.12091098844704949,-0.3704201998000188,0.0991668204701539,0.08574620293969845,1.9101760942010753,-1.1900512810188342,4.32611788782771
600004.XSHG,158.82,0.9694712449981471,1.190372408528074,-0.03501603133618721,0.09921414119541137,0.7056597840794786,0.07578180669647944,0.0657619559964794,-0.5473480894734227,1.1043431404788315,-0.06443743857436146
600005.XSHG,278.59,2.2965806534825677,-0.3449876367339437,-0.035825582601861694,-0.06729103024523723,-0.36741042180751327,0.014985615200175488,0.02151561985181954,0.8958939135332565,1.3455050961043442,0.09946666944278981
600006.XSHG,159.6,0.45035151026544107,-0.19757082079393115,-0.03312481949338812,-0.07637675484872218,-0.34773449142367446,0.015063567490547488,0.021635807296263306,0.41789935505748826,-0.39593737178160154,-0.06337001597894208
600007.XSHG,224.42,-0.40736324368456356,0.5784535499091539,-0.033967211538030714,0.10391245123960072,0.5697536963122491,0.10854229306673722,0.09099185416981052,-0.1897615061117915,-0.6551243108367292,0.02533553868142149
600008.XSHG,197.65,0.7797448366697133,-0.40339807323847704,-0.033433418559247294,-0.022681055128580853,-0.23961008993345748,0.04141233804321593,0.0410116521515246,0.8375983618053942,-0.5656128104705408,-0.01129895218957406
600009.XSHG,533.57,0.07921085543514376,1.7466622799998195,-0.034587537362984117,0.12451358784952109,1.230714782840844,0.12894127207715786,0.11298434050100738,-1.329042479750587,0.8318014304715355,0.13257045480585977
600010.XSHG,937.75,0.4423707574430618,-0.38003389863666376,-0.0372028101896994,-0.04288527748184183,-0.2759687570828996,0.03657379160588033,0.036258510192261506,0.7194801866812931,0.8018175627806987,0.3386514402471457
600011.XSHG,1092.91,1.7632678347143504,0.35593760132045565,-0.035121330341767544,0.06448561330670624,0.020054889260737334,0.042917078940387,0.04209399349203818,0.7777084747978655,2.2236977432549576,0.7513608073324968
600012.XSHG,222.92,0.08349591645455545,0.2841762079006005,-0.03441342910623249,0.04300169027371382,0.49477974336270447,0.1146844589067768,0.09990242730748408,-0.8451570955431962,-0.8321667694978747,-0.06739337806936894
600015.XSHG,1118.78,3.156182461924072,2.3585811386187396,-0.035338705021604154,0.12383889239595981,-0.3712848747619546,0.10470221176263365,0.08809616131059855,1.9153281550909866,-1.1844923944938288,1.2492587084753553
600016.XSHG,3385.8401,2.046129656538174,1.5797753185582957,-0.03525947012631599,0.1525626307479698,-0.35907763154933403,0.10662289373807805,0.09369621454794666,1.9224147104576965,-1.1725366526820404,3.4711671285170715
600017.XSHG,125.79,1.8433443486508374,-0.3449876367339437,-0.03293403020604952,-0.06758128645004131,-0.2284156373012525,0.03613642144484265,0.036861031498333384,-0.3941252931482678,1.642455648935463,-0.10963868001885094
600018.XSHG,1198.08,0.6128159841479849,-0.07073673009837315,-0.03465999558959632,0.07544167469704309,0.6116927194660363,0.07477812422704859,0.06828694838570047,-0.6404489153249705,0.6288091037412552,1.328165734256921
600019.XSHG,806.88,4.0904236475470634,0.18905063987893198,-0.03242004595108813,-0.013338188608283662,-0.06148647589970096,0.025737285179150172,0.02848777132082738,0.13442208137163913,0.8605642701407781,0.8195663741987805
600020.XSHG,101.36,2.763370808065183,-0.6303643407989492,-0.0349143813060478,-0.0029691710453048463,-0.2564363673177419,0.0693967703451134,0.06750858341844936,1.1338574239599923,0.8887415489782038,-0.14307090310358841
600021.XSHG,250.99,0.9004702370723249,0.2046267562801409,-0.034560951970486115,0.058115717517793486,-0.03390894898870115,0.04613678674937217,0.04556942376890995,0.8771807491090766,1.7161284584884118,0.061696331451027514
600022.XSHG,207.98,2.5521784855571945,-0.24374288012608605,-0.023805857499529424,-0.016904473328066008,-0.11294836113427884,0.018676671950011013,0.025026968453547817,0.30930210185768064,1.2385625352515643,-0.0038680487368468954
600023.XSHG,723.56,1.749800459255967,0.6340825370563286,-0.03511663880191496,0.20153356818203483,1.2515390381741325,0.09270387107203733,0.08562289081220335,-0.5212126190673223,1.6145157049230856,-0.0642732197135277
600026.XSHG,262.89,2.1823095069009577,1.8195362531626182,-0.03463966558356844,0.29453860562975054,0.8244868257235507,0.07631633786786102,0.08177775400030732,0.5974383299981789,0.9741223261943496,-0.03765607935339085
600027.XSHG,507.94,2.508540013790492,-0.016776612565613837,-0.035232363451612146,0.006885301427339446,-0.19868614485998518,0.03531984430066071,0.03632564014576797,0.991145821816969,2.305303799558633,0.1368538300926068
600028.XSHG,6017.2402,3.357267010323331,0.12229585530232259,-0.03447650425313952,0.018365378463748114,0.18393424142154569,0.022018602985269028,0.02611232887152252,-0.2730402733393136,1.4790282519109585,6.217481658217429
600029.XSHG,715.7,1.232657633288135,-0.2003522701512899,-0.03456616479254454,-0.041030877354299604,-0.31537723347308494,0.018476915720479537,0.023531435923220018,0.9973213284524409,2.7763978748171203,0.4188176141441543
600030.XSHG,2019.89,1.0770424300014267,1.1347434213808993,-0.03480074178517398,0.05247446669305589,-0.13732510381118154,0.10819191362172716,0.09102334741336769,1.1306644757667157,-1.1774745059799234,1.9572062175296483
600031.XSHG,398.05,0.808675314101516,-0.44511981359885794,0.21883223794824294,-0.10638920723695838,-0.45672757100065103,0.01476497516767241,0.020344892844398603,0.48406261048926974,0.10378638850909569,0.2617149039465341
600033.XSHG,91.66,2.385874747086779,-0.1308160362173217,-0.034804912042820726,0.027925806509293397,0.1923310816769054,0.11272154046738557,0.09397520381028768,-0.14323237223241864,3.3431131710692807,-0.15634526102098315
600035.XSHG,79.65,0.5095792606301177,-0.14472328300411536,-0.034508823749901794,0.0070413369973837585,0.02494842342031732,0.09569871706103313,0.0791282484788398,0.12587226965109127,-0.8505536139690905,-0.17278083200942757
600036.XSHG,4695.9399,1.4908769112078974,3.2486449329735327,-0.035230278322788765,0.169734903667565,-0.33421022014403123,0.09399390185445147,0.08245436280465207,1.8959178672820522,-1.180825209266226,4.974741607103912
600037.XSHG,246.62,0.3350331839043767,0.40377853026702576,-0.03398806282626445,0.0016474962770111228,0.38934830112893964,0.0850345975360551,0.09125223821199498,-1.4387888451053665,0.25991334287991086,0.0015374887655973373
600038.XSHG,257.48,-0.4179211005645899,0.6479897838431221,-0.032482078533583474,-0.0036363553684537493,-0.14652542840617078,0.020716435596558648,0.02632959270173811,0.6633164680328518,-0.5097314311138506,-0.04707129404119247
600039.XSHG,121.7,1.4453164024186185,-0.02567725050916179,-0.0350327123667742,0.07026892246750344,-0.23288941522931073,0.019845706385686022,0.024937267893507514,1.4776802836162934,-0.983547187153296,-0.1152358061922679
600048.XSHG,1114.63,2.085021080285648,1.3572593699695978,-0.03516824574029343,0.14728230606808984,0.08293654586760145,0.047406524448590205,0.04403319788449012,1.0975095390078917,-1.1724714069098943,1.1022280884088718
600050.XSHG,896.62,7.615284845707422,-0.3995040441381748,-0.03274219835429922,-0.09586905266724766,-0.4222944068914457,0.015290945033217054,0.021083146323652737,0.5164047531495709,1.927174616808716,0.9452348574518072
600051.XSHG,32.8,0.7732201426642987,0.046084142910693356,-0.03233976849138828,0.06796143789065294,-0.12332617630243334,0.03008386944710643,0.030143358441249955,1.1807931076612683,-0.7512206808371911,-0.23763359713368906
600052.XSHG,61.9,-0.10558210736916865,2.6923550615017864,-0.038871434530603446,1.3882058279902099,4.936401713461472,0.49370457425297165,0.49819434353846026,0.3968345831977274,-0.9984554466248028,-0.19707153850775297
600053.XSHG,152.56,-1.0015436995510534,1.266584120919703,-0.03376703917098694,0.5429609491175856,1.2731484778478557,0.09080974876649817,0.08746505402074688,0.8580044653365627,-1.152420928403586,-0.07300418914785536
600054.XSHG,128.39,-0.4713948327376724,0.1801500019353841,-0.03370761299952081,0.13927589824777042,1.2248616424735077,0.09212220004948167,0.07786230457231376,-1.1184413786330931,1.1717305718071216,-0.23083219931415797
600055.XSHG,73.98,-0.5067029826335735,0.2001764373083669,-0.02828575677654579,0.03021147615085933,0.6052047978766436,0.04422541790493351,0.05065865655434682,-1.463944475442531,-0.6705853218374879,-0.19102281046704322
600056.XSHG,193.29,-0.11323041737820014,0.9183466613783904,-0.03429614060991777,0.17327160106494047,0.4154326624806707,0.024224687295874462,0.02772479577997623,0.6320721932188575,-0.7995968789702894,-0.017361365135353315
600057.XSHG,131.13,0.8799337233959929,-0.14472328300411536,-0.03303463767177725,0.0011467977923063262,-0.21667447219311453,0.013352078802865923,0.01946371358764125,1.0079324359416726,-0.5270601223154913,-0.13106924135765524
600058.XSHG,184.9,-0.3209634057285669,-0.7332779670212222,-0.03591003031920829,-0.1854336658152209,-0.6297786540077073,0.010792785375598631,0.017351026129555816,1.2508505377077204,-0.9673331600491873,-0.028747206153159927
600059.XSHG,86.19,0.2546029597297772,,-0.03252638752108014,-0.08988268172860708,-0.25633342982227336,0.031698851873286145,0.031967100721745315,-1.7762445339359476,0.17073760524646525,-0.16383090409398823
600060.XSHG,224.14,0.6970317425932909,0.4060036897529128,-0.03491021104840105,-0.01685601020836199,0.08433020518125063,0.020747789184641815,0.02537791239537914,-0.6288718482524546,-0.8551223626131176,0.024952361339476075
600061.XSHG,619.51,0.199718365470773,0.6340825370563286,-0.03468762354650601,0.0577461045873285,-0.1654687869472584,2.763304504412022,1.9701541676041845,1.2401814202643002,-1.202980915845883,0.16857544004365932
600062.XSHG,151.63,0.23401632603273548,1.4496034886339073,-0.03448275963960964,0.13024072681766943,1.3295244847411067,0.057316928914584654,0.056669314679898095,-1.444507561544767,0.30993059202166057,-0.11802752682644164
600063.XSHG,74.23,0.29341191490936336,-0.3616763328780961,-0.0324221310799115,-0.05527805483461692,-0.24961733011792517,0.02174028515650623,0.026579445174672003,0.24563362365059793,1.1794514102808524,-0.18795739173147988
600064.XSHG,130.86,1.2491498647333998,3.070632174102574,-0.03501498877177553,0.2346823420595797,0.7979970050146687,0.07802960078032278,0.07406893313589841,0.36613121083091105,-1.179579627529563,-0.10270043314862502
600066.XSHG,479.1,-0.5228180686143348,1.691033292852645,-0.03498527568604247,0.40395415674489443,1.4414101079407495,0.03742273854139557,0.04058386254188803,0.34480257879577914,-0.40642521687473626,0.28191382382908536
600067.XSHG,103.1,1.5932225701813405,,-0.04432300383931152,-0.09835987414033692,-0.4222183475197939,0.02160008008979518,0.02348369391365633,0.33477990786968537,-0.8676564749063231,-0.14068972962149906
600068.XSHG,372.99,1.4943316526440475,0.4727584743295223,-0.03496077542236784,0.09624032137971944,-0.08743129975757455,0.023809752093582465,0.02766305378226802,1.2302871220058267,-0.7584687670875992,0.1780727641618778
600069.XSHG,98.55,-0.49342658759875224,-0.6453841673286863,-0.025217489712952783,-0.22654567484175853,-0.8993931140139124,-0.0007214935062519856,0.00545882203061822,0.34001337475249455,0.7643206311117577,-0.1926649990753807
600070.XSHG,47.5,-0.5467539576274223,-0.41285500105349665,-0.027182723628981605,-0.03792577604183534,-0.10989740814358595,0.026618537876932132,0.030883102822954027,-0.18264662233253967,-0.05117652802477552,-0.2167778018078029
600071.XSHG,71.93,-1.0262479762849819,-0.9318734511366352,-0.09235081337964589,-0.34670240370326866,-1.702463988036642,-0.011971540953985867,-0.005780215634302117,-0.44838446075751254,0.6777868412626143,-0.18334557872306542
600072.XSHG,68.99,-0.7308583642871659,-0.8178340274849275,0.3285694454419382,-0.33829039484068246,-1.6324922254918937,-0.04604759744240542,-0.039814099844323075,-0.39001963754936697,0.7256160401467808,-0.1873689408134923
600073.XSHG,118.72,-0.1824436429400407,-0.03902820742448368,-0.03351473858335883,0.10743745739920389,0.47380851616088643,0.022445077877720498,0.027707335655729137,0.0557858128028821,-0.2989948839555762,-0.11931390790297268
600074.XSHG,378.88,-1.1394861666327594,0.02216367843740831,-0.03238407747888496,0.5867258240915868,2.2144215176617377,0.07266421079050188,0.06871820434353317,0.278121205864966,-0.9249817831470009,-0.09135564684602686
600075.XSHG,87.04,-0.35646013353359673,2.469839112913089,-0.03306122306427526,0.5421328959752575,1.0874023422746526,0.038162910420072076,0.03958884460028625,0.9958507826611694,2.2822161703053077,-0.20656886262597146
600076.XSHG,141.59,-0.6377596322116964,-0.03346530870976622,-0.03356373911070809,0.07911337649930832,0.7685048406879537,0.08353837457019202,0.08209960256668847,-0.9780864472474609,-0.02147867649428591,-0.21330183592015522
600077.XSHG,69.55,0.7045681659634407,0.10560715915817014,-0.03356530295732562,0.11704033966012331,0.17599318552112178,0.02640657481567658,0.027283057949641316,0.764036458326357,-1.1862109415012336,-0.18660258612960148
600078.XSHG,46.18,0.19395907948117305,-0.3527756949345482,-0.025378044632352482,-0.08324656535220976,-0.4033338921011133,0.015809970843219168,0.021194038405460684,0.8224382525135826,0.4140916590305278,-0.21858420927697414
600079.XSHG,267.88,-0.012311485719613744,0.689711524203503,-0.033849923041715996,0.10035106508313074,0.23354782673748825,0.040733788977481554,0.04161008175865054,0.5271648357882719,-0.30082421562099254,0.015756105132786115
600080.XSHG,36.24,-0.29497725813612,,-0.028341012690365174,-0.06172737266336805,-0.07246361604147232,0.026692239463465196,0.030669576602352533,-1.439735031543995,0.3477140724694972,-0.23218700491603636
600081.XSHG,47.97,-0.17296969300232878,0.04997817201099561,-0.03302733972089545,0.095869467479882,0.1857207788428999,0.02324078567710716,0.027302855891757825,0.6024389713763678,0.18382335056997173,-0.21613461126953737
600082.XSHG,41.22,0.14133089079047717,-0.5969869485106445,-0.042509984327388915,-0.17360951369174923,-0.7354062493578369,-0.006617981883304653,-0.0017674289126079954,0.024081779638651005,-1.1495430838643157,-0.22656250893248048
600083.XSHG,44.53,-1.2553737409647687,-0.45624561102829286,0.018416437327151404,0.05748119028339391,0.3308397724545646,0.04442472180009146,0.035355497497403895,-0.1429390487620313,-1.0876017304525367,-0.22166331291760694
600084.XSHG,105.29,-0.5296907442242517,-0.4896230033165976,-0.0072624454148899585,-0.1291238967690503,-0.5529781323885706,0.0040402676220862455,0.010400935875411419,-0.7219578333331791,-0.8699666013351386,-0.15378618377299055
600085.XSHG,422.55,-0.375392165356019,0.73977761263596,-0.03331560878072673,0.17115548702816108,1.3401727967723538,0.05304148713595229,0.052100916241161234,-0.9539953803209024,-0.725615097397569,0.2964745628230111
600086.XSHG,138.51,-0.5632230015082281,-0.14750473236147407,-0.0325524516313723,0.054276223593534186,0.012025764614190373,0.023188504911523414,0.026803109531933097,0.7182009558856628,-1.0539297456251553,-0.1333956752194667
600088.XSHG,76.0,-0.76644183180879,-0.38392792773696593,-0.08989610068515237,-0.10121495278133627,-0.35755186911650017,0.019604461386468996,0.02406707575952709,-1.508312094700837,0.2507731824991161,-0.17777582235978745
600089.XSHG,288.67,1.8329468099888697,0.6507712332004809,-0.03488258309149136,0.06862934066975433,0.05002514106640622,0.03275988579728256,0.03550162457377879,0.7300324548791441,-0.015510951971733734,0.10786920115545004
600090.XSHG,196.37,-0.31666508407650457,0.14454745016119228,-0.015162477244443497,0.07036062357271158,0.694028418966507,0.026164018253321684,0.028273669446224378,-0.929342066426776,-0.6256915435576452,-0.21311024724918248
600091.XSHG,49.56,-0.7185657013874336,-0.701013154475861,-0.032302757454773415,-0.2407508553059442,-1.2358202992039307,-0.6045797525453669,-0.5997643409457031,-0.8463258935441718,-1.1570703154958002,-0.22960055785790484
600093.XSHG,155.01,0.11911682609208017,0.3281231077468683,-0.034164256211839446,0.06240483423995361,0.5007672743491252,0.02449112256915357,0.02754046846971727,-0.5407953217137612,-1.0435361207531852,-0.2208422186134382
