code,m_cap,B/M,EPS,PEG,ROE,ROA,GP/R,P/R,L/A,FAP,CMV
600000.XSHG,1863.48,1.5185417065940188,2.692149975964558,-0.0347062164117278,0.11477425747056594,-0.20524222026917727,0.165917670982638,0.14434845465592563,0.9881964585049211,-1.2118290674483676,2.011361281585731
600004.XSHG,82.0,1.198649364413084,0.6222975592925087,-0.03403087662883693,0.06016886559537278,0.8552640462241472,0.10092421751019194,0.09314084275792271,-0.8734390298343586,2.674482094920187,-0.10298782365221307
600005.XSHG,239.22,2.906000090445171,-0.3369023411164899,-0.02910594024530698,0.0045088346013375654,-0.2537323673497558,0.05395150848819472,0.05753026606857829,0.13458828769208048,1.8683008105320682,0.13297208969577323
600006.XSHG,59.6,2.1097475797942713,-0.4995736692560277,-0.005557318396661781,0.0004973676231588053,-0.291208782813199,0.05301360246280545,0.05692567947051212,0.15758982480380143,-0.2515519548782891,-0.13660633312298584
600007.XSHG,109.49,-0.2174286541654074,0.11745550644566735,-0.03179048593829229,0.04095600874108344,0.21709733384332702,0.11128746358755429,0.10125945928951548,-0.1997306332601246,-0.46169503084684893,-0.061730108234733475
600008.XSHG,166.1,0.08179081657220237,-0.21461837720469945,-0.031218829026633622,0.022356660584556976,-0.11302585916661956,0.09126445543550182,0.08553230484765925,0.20439430196199046,-0.25343027224496545,0.02323166949475072
600009.XSHG,290.59,0.1563628081109301,1.2393267349942036,-0.03321682597767593,0.07643796614774813,1.2516475705206196,0.1683837705512282,0.15023327618480167,-1.0115091195268757,1.5523668319607877,0.02143067791595934
600010.XSHG,313.7,0.24880364204506308,-0.3873865464011741,-0.004107159319292366,-0.0018296698281976948,-0.330396953691234,0.051972235799671314,0.05675874951304046,0.5290948962366168,-0.08581492041632965,0.15186749300992633
600011.XSHG,773.05,1.1537857202115527,0.846671805002216,-0.034397970037794205,0.1217554391085087,0.48142156506224637,0.08564867338562002,0.08081949494082426,0.40365997233290984,2.0595854230865873,0.5993988920764322
600012.XSHG,68.0,1.7093871624334254,0.18252403770148246,-0.0342256322923677,0.05443444725683634,0.5494746311667308,0.15359169582043933,0.1315669716889974,-0.5085568149984944,-0.8881493178793296,-0.1543310919109245
600015.XSHG,731.96,1.694511630878335,1.9685430335507523,-0.03470061193220174,0.09964924151741796,-0.22949608433680566,0.15002292525529196,0.13086788369262845,0.9933906758319953,-1.1985328662444565,0.5743200843417618
600016.XSHG,2436.6499,0.7925550138656728,1.6319816649861916,-0.034584318982035886,0.11743593602979309,-0.19026422720169114,0.1612147626969776,0.13969283326931842,0.9778569591880045,-1.201390109500661,2.686042743527302
600017.XSHG,85.81,1.6897294279459139,-0.07326260240758385,-0.033924391517841684,0.04225256405074298,0.39833722996700816,0.09691493438733857,0.09247426538275379,-0.571172651909497,1.7040310506798109,-0.11590993823004135
600018.XSHG,1103.63,-0.07431784325261845,-0.09513909136428032,-0.03253588171525899,0.06392128017141316,0.6753720309591394,0.11297290443983289,0.10578700733592235,-0.48738344859888205,0.912263428642451,1.3018606491208602
600019.XSHG,708.28,3.241044675942424,-0.10691873926403997,-0.03305289495153852,0.012560128756484951,-0.12033478307971772,0.05792027736782008,0.06052772736216965,-0.20716913881222504,0.7241718654121482,0.8369496813190175
600020.XSHG,51.69,2.3072862985735565,-0.14001394050622176,-0.034184999815803724,0.03428106182297262,-0.17328572321550223,0.0946331750569894,0.09133736944180659,0.6294195377161079,1.2760857719713614,-0.14847786927985246
600021.XSHG,114.48,1.2562348848784066,0.6800739275627583,-0.03412755390066155,0.11929611564846461,0.5754738144806096,0.09251424302256213,0.09084175021857475,0.3068809184691991,1.435620130375679,-0.05424098491959256
600022.XSHG,112.64,1.7164642828840062,-0.3885084176297226,-0.036181595646964514,0.0041561104025447,-0.2971527775721783,0.052417109205564555,0.056513323487371155,0.5198300971556015,1.851397652098021,-0.08571331275897223
600026.XSHG,155.59,2.7009283314437345,-0.8501584281774452,-0.03842478857727218,-0.02974157886341471,-0.5678850368417386,0.0355913882021501,0.03892037822340365,0.09320511559774547,2.729469078422211,-0.08143595775934268
600027.XSHG,234.4,2.3274331424874912,0.5101104364376551,-0.03455909882416859,0.11993479748684716,0.18871245468551967,0.07916250185650388,0.07730569454947529,0.6493300226933444,2.067406218540052,0.054583931228877655
600028.XSHG,5571.8198,1.5522772994884466,0.6279069154352513,-0.03432791404371839,0.08283261360925259,0.5864406632852691,0.06067680165771811,0.0627192427690845,-0.03898743637029591,1.2595133790655162,6.305960475416966
600029.XSHG,287.65,2.6940608187607666,0.7905782435747891,-0.03373243809407395,0.12910521095222205,0.4637009274649382,0.07579621403902771,0.07510890323843206,0.45720914299178267,2.549822647823805,0.08275444117380641
600030.XSHG,1421.1801,0.27919328497679596,0.39792331358280136,-0.03142339252933501,0.03462653430969707,-0.04032287047932877,0.15247887252763226,0.13794577660383192,0.28166001081073727,-1.1709952299763666,1.674125608457042
600031.XSHG,546.1,-0.16462516963309176,-0.2191058621188936,-0.032652174665424846,0.021966015012463654,-0.10727951808296353,0.061604430236340504,0.06467413628793414,0.17037904818869948,-0.09401762961249481,0.5910993225508351
600033.XSHG,59.28,2.837177725307498,-0.12767335699218788,-0.033761861611585786,0.04382736339543536,0.19979970707676453,0.14036123413642596,0.1213188173707244,-0.08775981867176406,3.629304972007024,-0.18262166796110604
600035.XSHG,29.81,2.2168114305009556,0.11745550644566735,-0.03352507235160953,0.045956895618737344,0.03319204327856203,0.15875079931824657,0.13291387536655258,0.3082048726324708,-1.021030575164843,-0.18131594906648227
600036.XSHG,2751.49,1.1556599440720776,2.9782271392444346,-0.034624951458599854,0.11122013333981041,-0.17961117358507833,0.16464911729133,0.1422531532329845,0.9598799729004388,-1.1945337550170578,3.1517342910959196
600037.XSHG,92.57,0.26040422221929543,0.2689081222997197,-0.03173444114303164,0.047172919973038366,0.3335409210518793,0.10509270072174172,0.10994945229115104,-0.28592908548328044,1.3716192821761832,-0.08712408949569218
600038.XSHG,178.08,-1.2021130137128109,0.34239068776964887,-0.01803709318132786,0.05864381207168479,0.050525897672946636,0.06506483987367216,0.0674121200206714,0.43665599277645256,-1.1213471331833929,-0.07310637170743246
600039.XSHG,69.7,0.4887962058140367,0.5987382634929894,-0.03396222175464263,0.082955361538054,-0.10651927065793322,0.05950838564215183,0.061546836440998925,0.8165947340024942,-0.880251640929175,-0.1713654705936598
600048.XSHG,635.28,1.2039770039613902,0.5101104364376551,-0.0344315969149506,0.04817287102124981,-0.10662955181909739,0.08210995404892579,0.07891865860758257,0.6209012661049665,-1.2022293328499654,0.7273893602758741
600050.XSHG,729.16,6.955657212102338,-0.17479194859122643,-0.03231590589386092,0.02457256670319618,-0.045455472926940695,0.06261809763763408,0.06417431563813956,0.03348777811224692,2.441372409475338,0.8682869347899878
600051.XSHG,20.29,1.1235698400254912,-0.44348010782860087,-0.02246743424668254,-0.018034197810689923,-0.4236633832413984,0.051154129027798215,0.052875894584445395,0.4667763485708767,-0.6815613611683272,-0.1956038155915607
600052.XSHG,31.82,0.10828744356775225,-0.6622449973955654,-0.030183401434193048,-0.046023289080724304,-0.5101509843149785,0.03877873667352415,0.03308182062856769,0.6984696900298513,-1.0005291610641232,-0.1782992881720067
600053.XSHG,29.7,-0.7133231773218719,-0.39523964500101383,-0.015216638859835457,0.003400985467827862,-0.29499723371676645,0.055839924059142385,0.05897963543529009,0.45549031177200655,-1.1632197463228833,-0.18148103996120482
600054.XSHG,50.58,-0.31986943099890225,0.5089885652091065,-0.03001246480864805,0.08964176338987799,1.008186723612571,0.1014502057132426,0.09342856592188473,-0.4410112893017217,1.5715876305997378,-0.20711515343266904
600055.XSHG,24.52,-0.7210984383996351,-0.40982397097214474,-0.023336128573222672,-0.002283294441089036,-0.28352532915952877,0.05434780838911853,0.057728340525773705,-0.5254812158110727,-0.11393672871930856,-0.18925532027632103
600056.XSHG,98.66,-0.4124914568336015,0.1797193596301111,-0.03181430497627807,0.030750771344620315,-0.10924433413307696,0.05670626125094693,0.05941280996946797,0.3965509252887503,-0.7133132070679428,-0.08289175928553238
600057.XSHG,58.3,-0.5810065354272749,-0.050825177836613104,-0.030264666387320994,0.07295337993112638,-0.07890209755441376,0.05331288913537753,0.05712435256520839,0.7393450454979911,-1.102457100072644,-0.18232150269797415
600058.XSHG,145.35,0.6159927701704289,-0.22864176756155616,-0.02962155236170499,-0.022504046894390898,-0.43450183707098294,0.05101374251423524,0.05533354931312125,0.5838490899317532,-0.1646132548085816,-0.007910476555183869
600059.XSHG,64.82,-0.38297225430634196,-0.3088555604027765,-0.030210022711941856,0.006343356092276556,-0.11931028707527955,0.06853959434957327,0.06876780590771708,-0.8161489416481913,0.5098974038398975,-0.12877201975524324
600060.XSHG,153.14,0.29226932600196287,0.9139840787151282,-0.034218626692960115,0.0687199274230061,0.5620962301480857,0.06281233771332345,0.06546709196012332,-0.21986774310705232,-0.8654803124851199,0.00378096044380361
600061.XSHG,24.59,-0.7814898347786579,-0.4210426832576301,-0.013605350996091661,-0.0015266221665359407,-0.32597025722691936,0.05176569860680276,0.05586160679477829,0.4769516072157502,-0.6292124370282182,-0.18915026243422486
600062.XSHG,122.0,-0.3039606391511557,1.354879471534703,-0.032809100092154674,0.07726122022450903,0.9926930196078535,0.07600208448172809,0.0763075224334963,-0.6501342029126048,0.15518220172411148,-0.042954771025833144
600063.XSHG,32.5,0.6554662378020176,-0.3593397656874607,-0.038136157881679816,0.01664129531116845,-0.1405492666451878,0.05685681300736499,0.061561403286852945,0.11229833158502149,1.7720451766764884,-0.17727872627735822
600064.XSHG,58.95,1.0317575237916805,0.1006274380174392,-0.03343259843942945,0.015608226571536259,-0.18417052709832962,0.07896596160062272,0.07439337134968624,0.2772442330678328,-1.181275172157628,-0.1375818702281645
600066.XSHG,218.7,-0.4612394072058127,0.7344846821473622,-0.03332471220855269,0.07257236481741694,0.5466845710652004,0.06797859636827512,0.07045269637119216,-0.13345637202300417,-0.2589329499687026,0.08890782906801038
600067.XSHG,84.04,0.5655399094420113,0.2857361907279478,-0.03467679289421596,0.050388338342025,0.1966580258816672,0.08040887369755707,0.0771623175788045,0.056335026194336064,-0.8744078513060461,-0.09992613796826769
600068.XSHG,143.68,1.9149370575865763,0.24647069772874908,-0.03412615278078004,0.05790402196758397,-0.054843756125177855,0.06038391276588587,0.06250696547272055,0.6084087919537275,-0.6086806735720073,-0.010416856502335212
600069.XSHG,36.56,-0.13136423970395927,-1.1166028449577226,-0.04874263538475854,-0.14834009649498422,-1.2013576076234405,0.02906045162776294,0.030524581564860192,0.46500997061513544,0.9255874854611047,-0.17118537143578066
600070.XSHG,15.36,0.5025053000726325,-0.10691873926403997,-0.033711421295851196,0.03940271049172768,0.2797594092723511,0.07219386213774068,0.0741771426072544,-0.3927147600824771,-0.17067177142764087,-0.20300288932776206
600071.XSHG,15.51,-0.09827210028600995,-0.6532700275671772,-0.048758047703455216,-0.04805060449633578,-1.10349506417297,0.03595675866323419,0.03943280534569782,-0.910872325625601,0.46348087670695565,-0.20277776538041312
600072.XSHG,63.97,-0.8979021066670112,-0.8361350378205886,-0.040719822943195955,-0.07120580611790969,-1.1649669554761932,0.022212664153072766,0.026098961968827113,-0.2766187454236853,0.4640587348025031,-0.1300477221235538
600073.XSHG,91.9,-0.7864521487772657,-0.27519942354632043,-0.02623084224843544,0.020741861350366188,-0.10263758688864727,0.05436397654125464,0.0579112670421051,0.11044704323330629,-0.12127692196641328,-0.09599397302123981
600074.XSHG,27.38,-1.6485547474168434,-0.6285888605391093,-0.03620541468495029,0.356525645048165,-1.1021082918903111,0.0346741816407194,0.03860429543014309,1.3571119171495556,1.6281044444634296,-0.18496295701353485
600075.XSHG,30.53,0.44427311350190074,-0.8922285992480155,-0.037895165262059,-0.05055928116876908,-0.8035015368078484,0.04404043338652735,0.04711354376274887,-0.015417704192116938,0.9830868862379759,-0.18023535411920744
600076.XSHG,19.19,-1.1810889254957464,-0.5556672306834546,-0.0280621059335773,-0.11794807883774357,-1.3427774804191315,-1.1928510035449704,-1.2090309588473815,0.13926352815314927,-1.1917753063411407,-0.19725472453878615
600077.XSHG,47.89,-0.09170453226793729,-0.5063048966273189,-0.028776677073150635,-0.019880613033206096,-0.42409438546063427,0.03858942709665115,0.034727332585668125,0.561804119088912,-1.193012413985598,-0.19399793143380506
600078.XSHG,40.02,-0.12901164721425046,-0.49003776381336517,-0.01636135380303431,-0.0045510018023061476,-0.3333937243750431,0.052965523086601414,0.05655728496948491,0.087155648464583,1.183710770128475,-0.16599251238359877
600079.XSHG,143.51,-0.4987857580923013,0.6783911207199356,-0.03023244063004612,0.06267641063120942,0.45170851713737487,0.07879980486939506,0.07766715538098715,-0.16078147346758656,-0.40130856804142023,-0.038137118552566164
