code,m_cap,B/M,EPS,PEG,ROE,ROA,GP/R,P/R,L/A,FAP,CMV
600000.XSHG,1882.14,1.3043361050399667,2.385257012809327,-0.04355879329916656,-0.012369408711681079,-0.16154729406086954,0.03463133163398469,0.03408640556756075,1.000217994150092,-1.2291914032718876,2.069820388020374
600004.XSHG,77.86,1.2149560769793255,0.5845700426691969,-0.031732655875302176,-0.02728207118406061,0.5268503787606309,0.033045269785344326,0.03288158122331595,-0.7067626371062248,2.4958888823533396,-0.1046440903132316
600005.XSHG,242.25,2.754805396374053,-0.31327941612643584,0.06457746328205909,-0.044672427685719954,-0.18887188771304614,0.031842382668482855,0.0319471030020644,0.15157805536612937,1.8452077378212424,0.14570448663340946
600006.XSHG,60.4,1.9934576513965048,-0.21551358616868918,-0.5878311179344591,-0.03603353157311135,-0.014395906338645422,0.03192200222233435,0.032026787968960316,0.1455220269221105,-0.2349227708724713,-0.13123382298242287
600007.XSHG,113.52,-0.30132892134708394,0.17554973366229756,0.015949898212698946,-0.031754253183941455,0.18439369511352652,0.033375841241483614,0.033099751329780755,-0.18782880076845168,-0.4614947724365813,-0.05033768326951106
600008.XSHG,152.24,0.18236850208828667,-0.2504299540107416,0.016867908880304854,-0.04091584626229741,-0.12147964267565657,0.032676128825265806,0.032601176805600963,0.20285275750588191,-0.24188582711018375,0.008628780015201787
600009.XSHG,291.55,0.08164814933786009,0.7741160395260528,-0.01172542338424395,-0.028423015139680458,0.5731905249664256,0.03429610088744129,0.033898258017823875,-0.9264181561799917,1.5447963481055622,0.028730983407717507
600010.XSHG,314.5,0.22183998690075787,-0.42301657220145766,0.7991479992493062,-0.04816730508528195,-0.2610299557610428,0.03182686473373411,0.03189873201494876,0.5315744527032749,-0.11050990635716162,0.16123800743671704
600011.XSHG,754.77,1.0184377225963381,0.7741160395260528,-0.03618770764456616,-0.012137925671704247,0.2310517660001225,0.032573941307629854,0.03250317950462516,0.4666431131818969,1.98705221919564,0.5945775510231074
600012.XSHG,69.0,1.5086583032930676,0.2693251215809526,-0.03497269352567598,-0.026493442488899788,0.47824176039150373,0.03471965048491361,0.03419571129702198,-0.5309531161145229,-0.9640368598245126,-0.1493714928615791
600015.XSHG,665.18,1.9592883057853623,1.5223239218557467,-0.0447198067905505,-0.014460668474525777,-0.16689174676209384,0.034296828764743104,0.03380751566742681,0.9993091950123612,-1.2160664205442289,0.5148235819574977
600016.XSHG,2711.8101,0.48249714956559525,1.6719654983216858,-0.039859750314989804,-0.007175569009802021,-0.14332333671887404,0.03455163393145457,0.03400786254732824,0.996147533096768,-1.221142674271661,3.0653666298033326
600017.XSHG,79.35,1.818031569457297,-0.07385289378093372,-0.031084648345227422,-0.03269250645513913,0.28918729029937634,0.03294521198466225,0.03286017677463054,-0.5956939076601028,1.7764181158366452,-0.11985780333529464
600018.XSHG,1278.84,-0.31144278834385186,-0.08732063566286825,0.008038806283036245,-0.02648052019012256,0.42603338141930935,0.033326094898254215,0.03316551651160368,-0.4124986394108018,0.8643886004171408,1.5733113454566192
600019.XSHG,691.81,3.227147518436921,0.17554973366229756,-0.015802470760964322,-0.03673652660548982,0.05373376144079457,0.03206887332160464,0.03211321556323954,-0.20172471710704812,0.6682217805292906,0.8303368015682105
600020.XSHG,50.79,2.2178106152429717,0.06581257758727581,-0.03494569321192287,-0.027532831009907218,-0.04881810923857403,0.033400736152176994,0.033292681767582426,0.631524621019396,1.347019814139296,-0.1458688362098529
600021.XSHG,92.22,1.5754410602697289,0.11369788205637622,-0.03370367877927958,-0.026193695579444457,0.09826624005255459,0.03240739303292751,0.03240351281305225,0.3355133768422662,1.6066292053089233,-0.08277532965288872
600022.XSHG,112.64,1.6481713634681845,-0.5731569539222829,-0.0675620722256858,-0.05822952873404345,-0.38540486722960443,0.03172145066843922,0.031843296639285625,0.530221222874336,2.0044959960126225,-0.08081079613952923
600026.XSHG,152.52,2.752118314824119,-1.1033869398665928,-0.16519520675694974,-0.06145603086795497,-0.5429306214528241,0.030858732836409466,0.03097876130201061,0.08298091354475998,2.5833117365146006,-0.07936404665294666
600027.XSHG,227.77,2.15662523597725,0.17554973366229756,-0.03589070419328189,-0.022381953588004874,-0.019138028893814718,0.032297889271636605,0.0323024326124663,0.6759684151494637,2.071309783447394,0.0534780140992615
600028.XSHG,5175.5,1.6630490855778914,-0.048912631036610636,-0.03732172082219699,-0.03230373208257227,0.12533520736393775,0.031917595960550924,0.03199830996764363,-0.05225286731396598,1.2378349177655497,5.933387735352078
600029.XSHG,276.86,2.4842263434416822,-0.3033033110287066,-0.027385605361050662,-0.04182473184797986,-0.1732268785006183,0.03190417521050483,0.03198693947794632,0.46015800870758156,2.5824198829070597,0.07304720452303629
600030.XSHG,1353.98,0.2617042595181904,0.07578868268500508,0.031691081130765,-0.039998744447627535,-0.07643557280437487,0.03403802971689763,0.03371763901747846,0.04123907365773217,-1.178770402206278,1.6137288051397274
600031.XSHG,572.76,-0.24967363425775108,0.2753107846395902,-0.008836389812660642,-0.018632482984319677,0.29327020161543993,0.03242091596173452,0.03243791132161312,0.21654937397089252,-0.1461206602695997,0.6464320984106195
600033.XSHG,57.36,2.8082300165543974,-0.1641366449153835,-0.024361570220701782,-0.03484872032409367,0.06332161139918993,0.03381988972101534,0.03338269475873294,-0.050185814058365724,3.60148917238883,-0.18057559494587058
600035.XSHG,31.12,1.9808487620721262,-0.07385289378093372,-0.01537046574091448,-0.03800687455156616,-0.08885122567443475,0.03383720945373489,0.03325217865551635,0.3097875099067473,-1.0303677911920788,-0.17582416505309412
600036.XSHG,2679.7,0.723925330679096,2.669576008094611,-0.042505781062795074,-0.008150501182081231,-0.14683303559127767,0.03447412663201834,0.033925575744309586,0.9969405378945383,-1.2149411486144819,3.2073765136178847
600037.XSHG,101.27,0.053867790281990735,0.11020624527217095,0.026264018066388884,-0.03524306699358198,0.10674694016406971,0.03281345407616997,0.032935194677298454,-0.24828447672620993,1.4315950176390255,-0.06899313717544422
600038.XSHG,86.83,-0.9475982796991116,0.1650748233096819,0.13159224201729058,-0.032392901762078555,-0.028135398933873994,0.03210110473860711,0.032176392960534865,0.41356906746473127,-1.1326713145235392,-0.09098372937149932
600039.XSHG,61.01,0.6515306791524741,0.4638591709866731,-0.033514676583007774,-0.020144165687899854,-0.07533316304858224,0.031975199784309835,0.0320884277857304,0.8108956983332987,-0.8622509806137132,-0.1746363075799
600048.XSHG,705.23,0.8392853475664683,1.4724433963671004,-0.037105718312172076,-0.015547854632931315,0.09287032350523675,0.0326620678160781,0.032554971393308076,0.6043351415914204,-1.2186551169719744,0.850774041683935
600050.XSHG,695.25,7.035083461220894,-0.15565695558231363,0.005446776162737201,-0.038255927780675804,-0.03875625017142266,0.03207492569493592,0.0321218457882373,0.04658552515804014,2.50697585613776,0.835575557603836
600051.XSHG,20.29,1.0607063660332783,-0.4329926772991869,0.25808871195063443,-0.05270940583632562,-0.3278191934965077,0.03183438961145095,0.03180036479045729,0.4065456953832829,-0.5954082120554246,-0.19231710920013548
600052.XSHG,31.38,0.1339783740864818,-0.2733749957355188,0.001666732237301102,-0.04168663326429908,-0.20219797664985242,0.0322763860645067,0.03211630508135464,0.685763523617555,-1.0107427822756045,-0.17542821256202945
600053.XSHG,31.13,-0.756915837375095,-0.3756300729872437,0.429351702086643,-0.04507977422656444,-0.22139568413240673,0.03200933660355737,0.03207565284928068,0.5088158934088087,-1.185824182303765,-0.1758089361111301
600054.XSHG,51.05,-0.3802907429924543,0.36958497781313165,0.0221599703759154,-0.022087863012431524,0.5643949473755223,0.032990803720126756,0.03280893243995408,-0.4130579840735535,1.459148001886889,-0.2038149603829759
